,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-25 01:45:00,61707.11,389.84512,61548.977,62328.66680908203,60769.28631591797,1000645.3512999997,9.99,1617099.3801999998,NoTrade
2021-10-25 01:50:00,61726.7,368.27017,61586.605,62323.14581298828,60850.06512451172,1000645.3512999997,9.99,1617295.0842999998,NoTrade
2021-10-25 01:55:00,61731.1,340.7618,61624.73,62306.25408935547,60943.20684814453,1000645.3512999997,9.99,1617339.0402999998,NoTrade
2021-10-25 02:00:00,61728.04,295.19012,61667.117,62257.49743652344,61076.73693847656,1000028.0708999997,10.0,1617308.4708999996,CloseSELL
2021-10-25 02:05:00,61658.53,248.71063,61701.406,62198.82751464844,61203.98498535156,1000028.0708999997,10.0,1616613.3708999997,NoTrade
2021-10-25 02:10:00,61673.16,219.90141,61725.45,62165.252044677734,61285.646392822266,1000028.0708999997,10.0,1616759.6708999998,NoTrade
2021-10-25 02:15:00,61704.11,186.91917,61749.73,62123.56881713867,61375.89212036133,1000028.0708999997,10.0,1617069.1708999998,NoTrade
2021-10-25 02:20:00,61738.77,157.38425,61771.22,62085.987243652344,61456.450256347656,1000028.0708999997,10.0,1617415.7708999997,NoTrade
2021-10-25 02:25:00,61659.99,135.38678,61784.227,62055.00012207031,61513.45300292969,1000028.0708999997,10.0,1616627.9708999996,NoTrade
2021-10-25 02:30:00,61700.51,116.758064,61795.71,62029.22706604004,61562.19480895996,1000028.0708999997,10.0,1617033.1708999998,NoTrade
2021-10-25 02:35:00,61758.73,116.834145,61792.457,62026.12532043457,61558.78874206543,1000028.0708999997,10.0,1617615.3708999997,NoTrade
2021-10-25 02:40:00,61720.01,113.18573,61781.8,62008.17224121094,61555.42932128906,1000028.0708999997,10.0,1617228.1708999998,NoTrade
2021-10-25 02:45:00,61761.07,107.28115,61772.883,61987.44511413574,61558.32051086426,1000028.0708999997,10.0,1617638.7708999997,NoTrade
2021-10-25 02:50:00,61834.23,83.01249,61760.688,61926.712478637695,61594.662521362305,1000028.0708999997,10.0,1618370.3708999997,NoTrade
2021-10-25 02:55:00,61945.89,76.630226,61758.27,61911.52998352051,61605.00907897949,1000647.5297999997,9.99,1619486.9708999996,OopenSELL
2021-10-25 03:00:00,62131.36,109.81819,61771.457,61991.09341430664,61551.82064819336,1000647.5297999997,9.99,1621339.8161999998,NoTrade
2021-10-25 03:05:00,61975.3,115.44892,61775.336,62006.23377990723,61544.43809509277,1000647.5297999997,9.99,1619780.7767999996,NoTrade
2021-10-25 03:10:00,62035.53,128.4693,61786.22,62043.15734863281,61529.28015136719,1000647.5297999997,9.99,1620382.4744999995,NoTrade
2021-10-25 03:15:00,61892.61,130.55002,61791.28,62052.381286621094,61530.181213378906,1000647.5297999997,9.99,1618954.7036999997,NoTrade
2021-10-25 03:20:00,61950.0,134.45706,61801.637,62070.550842285156,61532.722595214844,1000647.5297999997,9.99,1619528.0297999997,NoTrade
2021-10-25 03:25:00,61893.41,134.03828,61810.95,62079.025787353516,61542.872650146484,1000647.5297999997,9.99,1618962.6956999996,NoTrade
2021-10-25 03:30:00,61918.83,134.53958,61820.562,62089.641662597656,61551.483337402344,1000647.5297999997,9.99,1619216.6414999997,NoTrade
2021-10-25 03:35:00,62000.01,138.31177,61834.008,62110.63134765625,61557.38427734375,1000647.5297999997,9.99,1620027.6296999997,NoTrade
2021-10-25 03:40:00,62041.01,143.06091,61849.656,62135.778076171875,61563.534423828125,1000647.5297999997,9.99,1620437.2196999998,NoTrade
2021-10-25 03:45:00,62033.01,141.31691,61868.375,62151.00881958008,61585.74118041992,1000647.5297999997,9.99,1620357.2996999999,NoTrade
2021-10-25 03:50:00,62049.76,139.12376,61887.207,62165.45455932617,61608.95950317383,1000647.5297999997,9.99,1620524.6321999999,NoTrade
2021-10-25 03:55:00,62077.35,138.34248,61905.867,62182.552154541016,61629.182220458984,1000647.5297999997,9.99,1620800.2562999995,NoTrade
2021-10-25 04:00:00,62012.28,134.61676,61919.543,62188.77648925781,61650.30944824219,1000647.5297999997,9.99,1620150.2069999997,NoTrade
