,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-28 08:00:00,60579.91,580.31866,59072.945,60233.58264160156,57912.30798339844,999383.6177999999,10.01,1605788.5169,NoTrade
2021-10-28 09:00:00,61066.46,782.6892,59382.555,60947.93310546875,57817.17626953125,999383.6177999999,10.01,1610658.8824,NoTrade
2021-10-28 10:00:00,61054.52,921.2127,59615.723,61458.14807128906,57773.29724121094,999383.6177999999,10.01,1610539.363,NoTrade
2021-10-28 11:00:00,60978.17,978.1688,59839.965,61796.302490234375,57883.627197265625,999383.6177999999,10.01,1609775.0995,NoTrade
2021-10-28 12:00:00,61122.17,986.03687,60090.234,62062.30810546875,58118.16064453125,999383.6177999999,10.01,1611216.5395,NoTrade
2021-10-28 13:00:00,61611.43,977.78143,60399.707,62355.26989746094,58444.14416503906,999383.6177999999,10.01,1616114.0321,NoTrade
2021-10-28 14:00:00,61572.46,916.9362,60675.984,62509.85681152344,58842.11193847656,999383.6177999999,10.01,1615723.9423999998,NoTrade
2021-10-28 15:00:00,61171.28,726.96387,60909.043,62362.970703125,59455.115234375,999383.6177999999,10.01,1611708.1305999998,NoTrade
2021-10-28 16:00:00,61208.17,291.85248,61151.617,61735.32214355469,60567.91223144531,999995.6994999999,10.0,1612077.3994999998,CloseBUY
2021-10-28 17:00:00,61157.22,211.5416,61215.766,61638.84881591797,60792.68243408203,999995.6994999999,10.0,1611567.8994999998,NoTrade
2021-10-28 18:00:00,60159.95,394.9539,61115.043,61904.950744628906,60325.135192871094,999394.0999999999,10.01,1601595.1994999999,OpenBUY
2021-10-28 19:00:00,61320.0,399.22302,61144.543,61942.989013671875,60346.096923828125,999394.0999999999,10.01,1613207.2999999998,NoTrade
2021-10-28 20:00:00,61404.82,401.9748,61191.945,61995.89489746094,60387.99572753906,999394.0999999999,10.01,1614056.3482,NoTrade
2021-10-28 21:00:00,60741.57,426.37064,61149.66,62002.401428222656,60296.918884277344,999394.0999999999,10.01,1607417.2156999998,NoTrade
2021-10-28 22:00:00,60536.0,430.8854,61030.168,61891.93878173828,60168.39715576172,999394.0999999999,10.01,1605359.46,NoTrade
2021-10-28 23:00:00,60593.95,402.87433,60921.438,61727.18615722656,60115.68884277344,999394.0999999999,10.01,1605939.5395,NoTrade
2021-10-29 00:00:00,61383.45,422.532,60945.016,61790.079650878906,60099.951599121094,999394.0999999999,10.01,1613842.4345,NoTrade
2021-10-29 01:00:00,61411.75,441.05743,60967.64,61849.75549316406,60085.52575683594,999394.0999999999,10.01,1614125.7174999998,NoTrade
2021-10-29 02:00:00,61593.28,481.33487,61016.082,61978.75177001953,60053.41229248047,999394.0999999999,10.01,1615942.8328,NoTrade
2021-10-29 03:00:00,61649.63,409.19778,61181.605,62000.001037597656,60363.209899902344,999394.0999999999,10.01,1616506.8962999997,NoTrade
2021-10-29 04:00:00,61526.77,421.92947,61204.58,62048.437072753906,60360.719177246094,999394.0999999999,10.01,1615277.0676999998,NoTrade
2021-10-29 05:00:00,60995.7,419.94144,61159.125,61999.007873535156,60319.242126464844,999394.0999999999,10.01,1609961.0569999998,NoTrade
2021-10-29 06:00:00,61378.58,396.6362,61229.902,62023.174743652344,60436.629943847656,999394.0999999999,10.01,1613793.6857999999,NoTrade
2021-10-29 07:00:00,60563.92,391.26935,61233.008,62015.54650878906,60450.46911621094,999394.0999999999,10.01,1605638.9392,NoTrade
2021-10-29 08:00:00,60943.7,339.85956,61271.86,61951.57849121094,60592.14025878906,999394.0999999999,10.01,1609440.5369999998,NoTrade
2021-10-29 09:00:00,60857.98,360.20203,61213.48,61933.884521484375,60493.076416015625,999394.0999999999,10.01,1608582.4797999999,NoTrade
2021-10-29 10:00:00,61029.99,356.8182,61171.062,61884.69891357422,60457.42608642578,999394.0999999999,10.01,1610304.2999,NoTrade
2021-10-29 11:00:00,60942.94,328.74304,61098.805,61756.290771484375,60441.318603515625,999394.0999999999,10.01,1609432.9293999998,NoTrade
2021-10-29 12:00:00,60969.63,265.52753,61023.242,61554.29724121094,60492.18713378906,1000003.7962999998,10.0,1609700.0962999999,CloseBUY
2021-10-29 13:00:00,61291.0,222.74133,60997.047,61442.529541015625,60551.564208984375,1000003.7962999998,10.0,1612913.7962999998,NoTrade
2021-10-29 14:00:00,61239.75,235.42105,61024.168,61495.01007080078,60553.32586669922,1000003.7962999998,10.0,1612401.2962999998,NoTrade
2021-10-29 15:00:00,62297.12,459.45242,61126.223,62045.127502441406,60207.317810058594,1000626.7674999998,9.99,1622974.9962999998,OopenSELL
2021-10-29 16:00:00,62600.0,605.0776,61352.457,62562.61218261719,60142.30187988281,1000626.7674999998,9.99,1626000.7674999998,NoTrade
2021-10-29 17:00:00,62394.76,665.0341,61513.688,62843.75573730469,60183.61926269531,1000626.7674999998,9.99,1623950.4198999999,NoTrade
2021-10-29 18:00:00,62083.24,641.8782,61649.83,62933.58447265625,60366.07177734375,1000626.7674999998,9.99,1620838.3350999998,NoTrade
2021-10-29 19:00:00,62548.58,656.20044,61818.555,63130.95556640625,60506.15380859375,1000626.7674999998,9.99,1625487.0817,NoTrade
2021-10-29 20:00:00,62378.39,595.6466,61978.047,63169.340087890625,60786.753662109375,1000626.7674999998,9.99,1623786.8835999998,NoTrade
2021-10-29 21:00:00,62355.72,483.66623,62132.062,63099.394958496094,61164.730041503906,1000626.7674999998,9.99,1623560.4102999999,NoTrade
2021-10-29 22:00:00,62315.0,382.24042,62245.84,63010.32067871094,61481.35900878906,1000626.7674999998,9.99,1623153.6174999997,NoTrade
2021-10-29 23:00:00,62249.85,145.06769,62358.08,62648.21350097656,62067.94274902344,1000626.7674999998,9.99,1622502.7689999999,NoTrade
2021-10-30 00:00:00,61916.18,201.33789,62315.75,62718.42578125,61913.07421875,1000626.7674999998,9.99,1619169.4057,NoTrade
2021-10-30 01:00:00,62006.14,194.56586,62249.766,62638.89733886719,61860.63391113281,1000626.7674999998,9.99,1620068.1061,NoTrade
2021-10-30 02:00:00,61882.16,217.46356,62192.805,62627.73181152344,61757.87756347656,1000626.7674999998,9.99,1618829.5458999998,NoTrade
2021-10-30 03:00:00,61666.04,273.20175,62146.453,62692.85662841797,61600.04962158203,1000626.7674999998,9.99,1616670.5070999998,NoTrade
2021-10-30 04:00:00,61473.59,304.4829,62027.008,62635.9736328125,61418.0419921875,1000626.7674999998,9.99,1614747.9315999998,NoTrade
2021-10-30 05:00:00,61550.32,309.4728,61935.0,62553.94561767578,61316.05438232422,1000626.7674999998,9.99,1615514.4642999999,NoTrade
2021-10-30 06:00:00,61785.13,273.09808,61871.605,62417.80163574219,61325.40930175781,1000626.7674999998,9.99,1617860.2161999997,NoTrade
2021-10-30 07:00:00,61592.64,234.3979,61791.34,62260.135650634766,61322.544036865234,1000626.7674999998,9.99,1615937.2410999998,NoTrade
2021-10-30 08:00:00,61336.03,210.49345,61689.805,62110.791595458984,61268.817779541016,1000626.7674999998,9.99,1613373.7071999998,NoTrade
2021-10-30 09:00:00,61425.03,208.386,61635.234,62052.00637817383,61218.46237182617,1000626.7674999998,9.99,1614262.8172,NoTrade
2021-10-30 10:00:00,61813.99,176.72966,61613.883,61967.34213256836,61260.42349243164,1000626.7674999998,9.99,1618148.5275999997,NoTrade
2021-10-30 11:00:00,61607.71,149.36742,61583.383,61882.11764526367,61284.64797973633,1000010.6903999998,10.0,1616087.7903999998,CloseSELL
2021-10-30 12:00:00,61644.69,148.201,61581.016,61877.41763305664,61284.61361694336,1000010.6903999998,10.0,1616457.5903999999,NoTrade
2021-10-30 13:00:00,61580.01,143.3234,61592.84,61879.48663330078,61306.19305419922,1000010.6903999998,10.0,1615810.7903999998,NoTrade
2021-10-30 14:00:00,61202.25,189.19864,61554.168,61932.56524658203,61175.77069091797,1000010.6903999998,10.0,1612033.1903999997,NoTrade
2021-10-30 15:00:00,61398.5,175.25957,61511.207,61861.726165771484,61160.687896728516,1000010.6903999998,10.0,1613995.6903999997,NoTrade
2021-10-30 16:00:00,61268.43,187.69742,61475.18,61850.57452392578,61099.78485107422,1000010.6903999998,10.0,1612694.9904,NoTrade
2021-10-30 17:00:00,61424.16,182.40677,61484.98,61849.794006347656,61120.166931152344,1000010.6903999998,10.0,1614252.2903999998,NoTrade
2021-10-30 18:00:00,61588.47,183.66634,61503.14,61870.47329711914,61135.80795288086,1000010.6903999998,10.0,1615895.3904,NoTrade
2021-10-30 19:00:00,61758.25,173.75221,61496.945,61844.44973754883,61149.44088745117,1000010.6903999998,10.0,1617593.1903999997,NoTrade
2021-10-30 20:00:00,61672.14,179.40399,61504.098,61862.90563964844,61145.28967285156,1000010.6903999998,10.0,1616732.0903999999,NoTrade
2021-10-30 21:00:00,61468.68,172.47179,61484.543,61829.48654174805,61139.59939575195,1000010.6903999998,10.0,1614697.4904,NoTrade
2021-10-30 22:00:00,61576.53,172.26106,61484.152,61828.67446899414,61139.63021850586,1000010.6903999998,10.0,1615775.9904,NoTrade
2021-10-30 23:00:00,61885.35,181.56827,61560.055,61923.19122314453,61196.91815185547,1000010.6903999998,10.0,1618864.1903999997,NoTrade
2021-10-31 00:00:00,62400.0,309.95743,61671.332,62291.24688720703,61051.41717529297,1000634.6903999998,9.99,1624010.6903999997,OopenSELL
2021-10-31 01:00:00,62194.96,312.8951,61774.277,62400.06756591797,61148.48712158203,1000634.6903999998,9.99,1621962.3408,NoTrade
2021-10-31 02:00:00,61766.19,287.82935,61812.285,62387.94384765625,61236.62646484375,1000017.0284999999,10.0,1617678.9285,CloseSELL
2021-10-31 03:00:00,61729.89,278.90344,61828.0,62385.806884765625,61270.193115234375,1000017.0284999999,10.0,1617315.9285,NoTrade
2021-10-31 04:00:00,61423.12,306.71497,61790.766,62404.195556640625,61177.335693359375,1000017.0284999999,10.0,1614248.2285,NoTrade
2021-10-31 05:00:00,61300.0,342.87283,61749.418,62435.163635253906,61063.672302246094,1000017.0284999999,10.0,1613017.0285,NoTrade
2021-10-31 06:00:00,61322.3,358.901,61733.152,62450.954345703125,61015.350341796875,1000017.0284999999,10.0,1613240.0285,NoTrade
2021-10-31 07:00:00,61384.81,372.9786,61711.848,62457.80487060547,60965.89044189453,1000017.0284999999,10.0,1613865.1284999999,NoTrade
2021-10-31 08:00:00,60819.99,458.40485,61593.473,62510.28234863281,60676.66296386719,1000017.0284999999,10.0,1608216.9285,NoTrade
2021-10-31 09:00:00,60688.72,438.9285,61403.332,62281.189025878906,60525.475036621094,1000017.0284999999,10.0,1606904.2284999997,NoTrade
