,"pair","place","price","quantity","total_paid","fee_amount","fee_type"
133,"DOGEUSDT","BUY",0.61,"REMOVED","REMOVED","REMOVED","DOGE"
134,"DOGEUSDT","SELL",0.50049,"REMOVED","REMOVED","REMOVED","USDT"
135,"DOGEBUSD","BUY",0.061,"REMOVED","REMOVED","REMOVED","DOGE"
136,"DOGEBUSD","SELL",0.39,"REMOVED","REMOVED","REMOVED","BNB"
137,"DOGEBUSD","SELL",0.299,"REMOVED","REMOVED","REMOVED","BNB"
138,"DOGEBUSD","SELL",0.185,"REMOVED","REMOVED","REMOVED","BNB"
139,"DOGEBUSD","SELL",0.30903,"REMOVED","REMOVED","REMOVED","BNB"
140,"DOGEBUSD","SELL",0.48162,"REMOVED","REMOVED","REMOVED","BUSD"
141,"DOGEBUSD","SELL",0.5,"REMOVED","REMOVED","REMOVED","BNB"
142,"FISBRL","BUY",12.4,"REMOVED","REMOVED","REMOVED","BNB"
143,"MANABRL","BUY",27.11,"REMOVED","REMOVED","REMOVED","MANA"
144,"MANABRL","BUY",27.11,"REMOVED","REMOVED","REMOVED","MANA"
145,"MANAUSDT","BUY",3.6959,"REMOVED","REMOVED","REMOVED","BNB"
146,"C98BRL","BUY",20.98,"REMOVED","REMOVED","REMOVED","BNB"
147,"AVAXBRL","BUY",358.7,"REMOVED","REMOVED","REMOVED","BNB"
148,"SLPBUSD","BUY",0.0962,"REMOVED","REMOVED","REMOVED","BNB"
